,targetdataset,sourcedataset
0,51,9
1,14,38
2,71,31
3,60,33
4,20,9
5,74,45
6,74,60
7,23,48
8,2,45
9,21,29
10,52,19
11,1,76
12,29,4
13,37,23
14,1,55
15,63,24
16,34,9
17,27,44
18,69,52
19,54,50
20,46,51
21,52,45
22,27,64
23,35,25
24,48,61
25,47,71
26,52,61
27,74,49
28,23,67
29,42,2
30,24,77
31,51,65
32,6,31
33,56,21
34,7,56
35,35,61
36,62,45
37,35,75
38,22,14
39,53,57
40,0,18
41,64,47
42,4,34
43,71,72
44,21,29
45,14,52
46,74,63
47,56,76
48,24,60
49,55,9
50,35,8
51,78,43
52,76,10
53,45,70
54,5,41
55,32,47
56,20,50
57,51,22
58,75,61
59,46,70
60,39,18
61,52,35
62,44,77
63,31,20
64,61,58
65,51,16
66,22,41
67,7,13
68,36,4
69,76,65
70,53,43
71,43,53
72,31,6
73,52,28
74,28,64
75,37,8
76,79,32
77,67,36
78,31,38
79,62,39
80,43,53
81,19,11
82,5,69
83,9,25
84,34,74
85,17,18
86,55,77
87,8,57
88,59,11
89,23,54
90,20,66
91,37,61
92,26,20
93,37,15
94,30,44
95,33,27
96,1,3
97,73,64
98,47,57
99,12,37
100,29,39
101,12,19
102,65,45
103,65,11
104,23,62
105,51,49
106,62,56
107,70,2
108,70,7
109,74,68
110,70,32
111,43,20
112,4,25
113,9,21
114,40,27
115,43,31
116,16,8
117,1,71
118,68,60
119,73,64
120,33,23
121,53,44
122,32,20
123,25,4
124,70,74
125,9,77
126,15,57
127,43,60
128,13,53
129,55,28
130,37,34
131,24,12
132,43,39
133,44,5
134,55,4
135,74,47
136,71,64
137,70,69
138,51,18
139,29,32
140,6,56
141,44,4
142,8,25
143,74,68
144,78,11
145,1,31
146,7,71
147,0,63
148,2,40
149,10,36
150,51,19
151,53,64
152,26,45
153,43,44
154,37,72
155,26,70
156,53,51
157,68,50
158,17,36
159,60,18
160,46,35
161,26,1
162,20,11
163,79,50
164,4,55
165,30,60
166,9,46
167,58,54
168,1,69
169,17,4
170,51,71
171,43,53
172,15,33
173,40,10
174,20,40
175,2,74
176,45,1
177,64,27
178,58,0
179,12,61
180,34,23
181,62,43
182,68,78
183,35,24
184,65,46
185,72,66
186,43,56
187,29,49
188,69,31
189,49,2
190,11,78
191,38,4
192,44,26
193,24,20
194,79,23
195,43,26
196,29,56
197,45,78
198,18,23
199,30,3
200,5,59
201,8,71
202,8,59
203,70,8
204,55,69
205,43,6
206,33,73
207,5,53
208,24,72
209,18,60
210,19,38
211,7,63
212,28,42
213,24,57
214,19,63
215,11,54
216,0,16
217,76,11
218,36,49
219,54,59
220,65,56
221,62,18
222,14,62
223,30,68
224,73,27
225,3,56
226,31,36
227,55,2
228,24,54
229,45,58
230,0,40
231,11,75
232,14,16
233,35,0
234,5,28
235,65,12
236,52,56
237,14,17
238,14,28
239,21,54
240,9,52
241,29,26
242,8,53
243,64,3
244,38,59
245,69,51
246,19,21
247,62,11
248,60,34
249,62,17
250,29,48
251,32,7
252,2,55
253,39,58
254,37,70
255,54,76
256,13,78
257,69,60
258,58,7
259,56,14
260,55,74
261,43,64
262,29,10
263,5,37
264,60,61
265,53,26
266,25,77
267,2,15
268,69,43
269,57,67
270,2,79
271,60,23
272,24,62
273,12,11
274,0,13
275,23,74
276,28,61
277,33,35
278,19,8
279,50,25
280,3,55
281,71,25
282,63,28
283,62,63
284,63,57
285,29,39
286,48,68
287,71,21
288,78,32
289,29,35
290,40,42
291,70,10
292,15,36
293,72,27
294,77,1
295,62,30
296,69,31
297,7,64
298,0,18
299,42,37
300,45,4
301,54,32
302,40,49
303,17,30
304,60,14
305,72,68
306,35,44
307,64,34
308,60,66
309,27,68
310,14,29
311,29,9
312,55,47
313,65,71
314,10,20
315,51,1
316,53,5
317,29,39
318,25,72
319,67,33
320,72,19
321,29,75
322,15,0
323,51,36
324,36,0
325,5,11
326,11,0
327,60,58
328,70,75
329,77,27
330,38,51
331,29,77
332,39,56
333,62,4
334,62,30
335,49,14
336,0,26
337,68,35
338,15,41
339,27,43
340,64,43
341,19,18
342,34,12
343,19,23
344,35,57
345,29,37
346,6,10
347,74,5
348,28,11
349,5,13
350,50,31
351,78,37
352,21,27
353,3,35
354,4,70
355,46,78
356,54,46
357,72,41
358,34,12
359,6,75
360,54,62
361,19,57
362,9,7
363,71,79
364,64,76
365,6,68
366,15,69
367,75,20
368,79,20
369,15,64
370,31,54
371,73,53
372,62,9
373,65,53
374,59,78
375,41,34
376,63,68
377,19,69
378,34,64
379,10,34
380,54,72
381,49,58
382,38,1
383,69,35
384,17,52
385,37,72
386,42,17
387,41,74
388,68,47
389,55,66
390,15,65
391,49,6
392,23,63
393,7,29
394,8,14
395,33,26
396,43,68
397,42,51
398,25,70
399,1,20
400,31,0
401,72,7
402,20,60
403,73,32
404,26,8
405,41,13
406,78,27
407,3,78
408,0,27
409,6,66
410,57,46
411,60,17
412,42,14
413,44,42
414,43,44
415,9,61
416,13,42
417,37,54
418,23,64
419,60,28
420,35,22
421,19,49
422,31,41
423,49,44
424,19,9
425,59,13
426,40,24
427,27,48
428,46,17
429,26,40
430,29,45
431,62,33
432,40,15
433,2,8
434,45,21
435,56,62
436,1,27
437,55,73
438,9,41
439,42,64
440,32,54
441,5,9
442,70,58
443,47,34
444,76,78
445,57,67
446,46,22
447,8,45
448,16,34
449,52,63
450,60,56
451,2,63
452,5,71
453,63,12
454,71,4
455,58,27
456,51,26
457,46,36
458,61,39
459,79,42
460,34,12
461,61,18
462,48,17
463,29,43
464,7,58
465,42,32
466,68,2
467,25,34
468,75,38
469,56,14
470,6,44
471,56,62
472,5,71
473,4,43
474,19,6
475,69,59
476,1,3
477,21,60
478,43,61
479,71,23
480,69,8
481,73,21
482,40,41
483,68,44
484,59,54
485,49,38
486,15,27
487,22,8
488,51,57
489,38,47
490,79,51
491,53,21
492,16,23
493,56,40
494,28,45
495,71,69
496,10,6
497,10,17
498,54,37
499,62,27
500,24,11
501,53,52
502,56,12
503,20,31
504,68,0
505,32,1
506,35,55
507,75,74
508,42,67
509,55,21
510,43,62
511,1,28
512,67,18
513,39,37
514,58,61
515,72,3
516,77,24
517,27,70
518,8,16
519,78,0
520,70,67
521,48,22
522,21,22
523,64,17
524,36,64
525,14,25
526,14,65
527,44,1
528,53,38
529,36,73
530,52,31
531,72,51
532,44,4
533,21,7
534,19,24
535,70,8
536,59,24
537,36,42
538,11,38
539,36,30
540,19,46
541,77,37
542,40,46
543,68,59
544,15,61
545,38,24
546,36,49
547,77,21
548,26,64
549,27,49
550,37,71
551,56,14
